"Read_5","Disease","Read code","Medcode","Descr","Category"
"7A54A","Leiomyoma of uterus","7A54A00","98291.0","Perc embolisation of uterine fibroid using fluoroscopic guid","Diagnosis of Leiomyoma of uterus"
"7e+61","Leiomyoma of uterus","7E06111","4117.0","Excision fibroid","Diagnosis of Leiomyoma of uterus"
"7E0DC","Leiomyoma of uterus","7E0DC00","93437.0","Transcervical resection of fibroid","Diagnosis of Leiomyoma of uterus"
"B780.","Leiomyoma of uterus","B780.00","32719.0","Submucous uterine leiomyoma","Diagnosis of Leiomyoma of uterus"
"B781.","Leiomyoma of uterus","B781.00","12512.0","Intramural uterine leiomyoma","Diagnosis of Leiomyoma of uterus"
"B781.","Leiomyoma of uterus","B781.11","55349.0","Mural fibroids","Diagnosis of Leiomyoma of uterus"
"B782.","Leiomyoma of uterus","B782.00","41134.0","Subserous uterine leiomyoma","Diagnosis of Leiomyoma of uterus"
"B78..","Leiomyoma of uterus","B78..00","759.0","Uterine leiomyoma - fibroids","Diagnosis of Leiomyoma of uterus"
"B78..","Leiomyoma of uterus","B78..11","432.0","Fibroids","Diagnosis of Leiomyoma of uterus"
"B78z.","Leiomyoma of uterus","B78z.00","3402.0","Uterine leiomyoma NOS","Diagnosis of Leiomyoma of uterus"
"BBK00","Leiomyoma of uterus","BBK0000","28324.0","[M]Leiomyoma NOS","Diagnosis of Leiomyoma of uterus"
"BBK00","Leiomyoma of uterus","BBK0011","8655.0","[M]Fibroid uterus","Diagnosis of Leiomyoma of uterus"
"BBK03","Leiomyoma of uterus","BBK0300","61404.0","[M]Epithelioid leiomyoma","Diagnosis of Leiomyoma of uterus"
"BBK05","Leiomyoma of uterus","BBK0500","61105.0","[M]Cellular leiomyoma","Diagnosis of Leiomyoma of uterus"
"BBK06","Leiomyoma of uterus","BBK0600","72251.0","[M]Bizarre leiomyoma","Diagnosis of Leiomyoma of uterus"
"BBK0.","Leiomyoma of uterus","BBK0.00","33691.0","[M]Leiomyomatous neoplasms","Diagnosis of Leiomyoma of uterus"
"BBK0z","Leiomyoma of uterus","BBK0z00","67322.0","[M]Leiomyomatous neoplasm NOS","Diagnosis of Leiomyoma of uterus"
