"Disease","OPCS4code","OPCS4codeDescr","Category"
"Gastro-oesophageal reflux disease","G24","Antireflux operations","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G24.1","Antireflux fundoplication using thoracic approach","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G24.2","Antireflux operation using thoracic approach NEC","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G24.3","Antireflux fundoplication using abdominal approach","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G24.4","Antireflux gastropexy","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G24.5","Gastroplasty and antireflux procedure HFQ","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G24.6","Insertion of Angelchick prosthesis","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G24.8","Other specified antireflux operations","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G24.9","Unspecified antireflux operations","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G25","Revision of antireflux operations","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G25.1","Revision of fundoplication of stomach","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G25.2","Adjustment to Angelchick prosthesis","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G25.3","Removal of Angelchick prosthesis","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G25.8","Other specified revision of antireflux operations","Procedure for Gastro-oesophageal reflux disease"
"Gastro-oesophageal reflux disease","G25.9","Unspecified revision of antireflux operations","Procedure for Gastro-oesophageal reflux disease"
